ligand	receptor	sources	references	databases	n_databases
CCL8	ACKR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL8	CCR1	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL8	CCR2	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL8	CCR3	PMID:24218476	PMID:24218476	CellPhoneDB	1
CCL8	CCR5	PMID:24218476	PMID:24218476	CellPhoneDB	1
CD160	TNFRSF14	PMID:21959263	PMID:21959263	CellPhoneDB	1
CD177	PECAM1	PMID:17580308	PMID:17580308	CellPhoneDB	1
CD1B	IL6ST	Shilts screen - VALIDATED		CellPhoneDB	1
CD1D	LILRB2	PMID:19124746	PMID:19124746	CellPhoneDB	1
CD200	CD200R1	PMID:22020332;also_called_CD200_CD200R	PMID:22020332;also_called_CD200_CD200R	CellPhoneDB	1
CD226	NECTIN2	integrin_activating_interaction_PMID:15607800;NK_cell_cytotoxicity._PMID:24440149		CellPhoneDB	1
CD24	SELP	PMID:9129046	PMID:9129046	CellPhoneDB	1
CD248	IL6R	Shilts screen - VALIDATED		CellPhoneDB	1
CD274	CD80	PMID:17629517;PMID:18585785;PMC3168865	PMID:17629517;PMID:18585785;PMC3168865	CellPhoneDB	1
CD274	PDCD1	integrin_antigen_stimulated_T_cells_become_anergic._PMID:23954143		CellPhoneDB	1
CD276	TREML2	uniprot		CellPhoneDB	1
CD320	JAML	Shilts screen - VALIDATED		CellPhoneDB	1
CD34	SELL	PMID:7692600;PMID:8977216	PMID:7692600;PMID:8977216	CellPhoneDB	1
CD34	SELP	PMID:18606703	PMID:18606703	CellPhoneDB	1
CD40LG	CD40	Reviewed_in_PMID:23602662		CellPhoneDB	1
CD40LG	ITGA2B	PMID:11875495	PMID:11875495	CellPhoneDB	1
CD40LG	ITGA5	PMC3365732		CellPhoneDB	1
CD40LG	ITGB1	PMC3365732		CellPhoneDB	1
CD40LG	ITGB3	PMID:11875495	PMID:11875495	CellPhoneDB	1
CD44	SELE	PMC4571854		CellPhoneDB	1
CD44	TYROBP	PMID:31900164	PMID:31900164	CellPhoneDB	1
CD47	SIRPA	Reviewed_in_PMID:23602662		CellPhoneDB	1
CD47	SIRPB1	2jjs;PDB_partially		CellPhoneDB	1
CD47	SIRPG	PMID:15294972	PMID:15294972	CellPhoneDB	1
CD47	TYROBP	2jjs;PDB_partially		CellPhoneDB	1
CD48	CD244	activating_interaction._uniprot_&_PMID:26697006		CellPhoneDB	1
CD52	SIGLEC10	PMID:23685786	PMID:23685786	CellPhoneDB	1
CD55	ADGRE5	PMID:11297558	PMID:11297558	CellPhoneDB	1
CD58	CD2	Reviewed_in_PMID:23602662		CellPhoneDB	1
CD70	CD27	activating_interaction_for_NK_and_T_cells._uniprot_&_PMID:26697006		CellPhoneDB	1
CD80	CD28	antigen_stimulated_T_cells_become_activated._Reviewed_in_PMID:23954143		CellPhoneDB	1
CD80	CTLA4	integrin_antigen_stimulated_T_cells_become_anergic._Reviewed_in_PMID:23954143		CellPhoneDB	1
CD80	NGFR	Shilts screen - VALIDATED		CellPhoneDB	1
CD86	CD28	integrin_antigen_stimulated_T_cells_become_activated._Reviewed_in_PMID:23954143		CellPhoneDB	1
CD86	CTLA4	antigen_stimulated_T_cells_become_anergic._Reviewed_in_PMID:23954143		CellPhoneDB	1
CD93	IFNGR1	Shilts screen - VALIDATED		CellPhoneDB	1
CD96	NECTIN1	PMID:17971293	PMID:17971293	CellPhoneDB	1
CD99	PILRA	PMID:18234675	PMID:18234675	CellPhoneDB	1
CDH1	ITGA2	PMID:12392763	PMID:12392763	CellPhoneDB	1
CDH1	ITGAE	uniprot		CellPhoneDB	1
CDH1	ITGB1	PMID:12392763	PMID:12392763	CellPhoneDB	1
CDH1	ITGB7	uniprot		CellPhoneDB	1
CDH1	KLRG1	PMC3030123		CellPhoneDB	1
CDH2	FCER2	Shilts screen - VALIDATED		CellPhoneDB	1
CEACAM1	CD209	PMID:16282604;PMID:16246332	PMID:16282604;PMID:16246332	CellPhoneDB	1
CEACAM1	CEACAM6	PMID:21982860	PMID:21982860	CellPhoneDB	1
CEACAM1	CEACAM8	PMID:24743304	PMID:24743304	CellPhoneDB	1
CEACAM1	SELE	PMID:1378450	PMID:1378450	CellPhoneDB	1
CEACAM5	CD1D	PMID:24104458	PMID:24104458	CellPhoneDB	1
CEACAM5	CD8A	PMID:24104458	PMID:24104458	CellPhoneDB	1
CEACAM5	CEACAM1	Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108		CellPhoneDB	1
CEACAM5	CEACAM6	uniprot		CellPhoneDB	1
CEACAM8	CEACAM6	PMID:11590190	PMID:11590190	CellPhoneDB	1
CEL	RORA	HMRbase;PMID:12467577;PDB:1N83		CellPhoneDB	1
CEL	RORC	uniprot		CellPhoneDB	1
CGA	FSHR	reactome		CellPhoneDB	1
CGA	LHCGR	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CGA	TSHR	uniprot;HMRbase;reactome		CellPhoneDB	1
CGB1	LHCGR	uniprot;reactome;IUPHAR		CellPhoneDB	1
CGB2	LHCGR	uniprot;reactome;IUPHAR		CellPhoneDB	1
CGB3	LHCGR	uniprot;reactome;IUPHAR		CellPhoneDB	1
CGB7	LHCGR	uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRM1	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRM2	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRM3	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRM4	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRM5	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNA1	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNA2	reactome		CellPhoneDB	1
CHAT	CHRNA3	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNA4	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNA5	reactome		CellPhoneDB	1
CHAT	CHRNA6	reactome		CellPhoneDB	1
CHAT	CHRNA7	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNB1	uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNB2	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNB3	reactome		CellPhoneDB	1
CHAT	CHRNB4	reactome;uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRND	uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNE	uniprot;reactome;IUPHAR		CellPhoneDB	1
CHAT	CHRNG	uniprot;reactome;IUPHAR		CellPhoneDB	1
CHL1	L1CAM	Shilts screen - VALIDATED		CellPhoneDB	1
CLCF1	CNTFR	uniprot		CellPhoneDB	1
CLCF1	IL6ST	uniprot		CellPhoneDB	1
CLCF1	LIFR	uniprot		CellPhoneDB	1
CLEC2A	KLRF2	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577		CellPhoneDB	1
CLEC2B	KLRF1	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577		CellPhoneDB	1
CLSTN1	NRXN1	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN1	NRXN2	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN1	NRXN3	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN2	NRXN1	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN2	NRXN2	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN2	NRXN3	PMID:29100073	PMID:29100073	CellPhoneDB	1
