source_genesymbol	target_genesymbol	references	sources
SP1	PTGS2	10825178;15767339;16840740;17012241;17616668;23635401	TRRUST_from_CollecTRI
SOX9	COL2A1	10825206;10980415;12713737;12732631;12935820;15623506;18390577;18636947;18677406;18759300;20039424;20529846;20940257;21069261;21853455;22110751;24191021;24344131;9121483;9171829;9264261	TRRUST_from_CollecTRI
TP53	CD82	10828889;11895916;12474542;12527206;12806379;15580298;9736732	TRRUST_from_CollecTRI
STAT1	ICAM1	10830295;11278281;11641425;12651068;19122651;22951020;23347335;7957928;9353323;9888295;9990314	TRRUST_from_CollecTRI
STAT3	ICAM1	10830295;15860735;18616672;19741199;20680966;21354136;23178493;23690481;8675499	TRRUST_from_CollecTRI
SP1	EGFR	10830317;1282800;15533438;15665278;16087726;17616668;18007664;18202149;18391986;18575762;19538880;20407012;20435036;21464950;21705183;23821666;8393457;9819401	TRRUST_from_CollecTRI
RELA	SERPINE1	10839991;11757833;12675842;15631825	TRRUST_from_CollecTRI
CEBPD	PTGS2	10841183;10956548;16256955;16397300;18820298;19908286;20506344;7559624	TRRUST_from_CollecTRI
EGR1	TH	10842166;12670703;16515541;20124442;20965158;24227652	TRRUST_from_CollecTRI
SP1	TH	10842166;12670703;14651963;20124442;9751166	TRRUST_from_CollecTRI
SMAD4	TGFB1	10843986;10964912;15647271;21968601	TRRUST_from_CollecTRI
SP1	VDR	10845704;10919269;15664452	TRRUST_from_CollecTRI
SP1	LTF	10845904;9666128	TRRUST_from_CollecTRI
RELA	HLA-A	10845913;12574356;19428110	TRRUST_from_CollecTRI
STAT1	NOS2	10848596;10882409;11438703;12162464;12417260;12586443;12902503;14530341;14722242;16140971;16284791;16318585;17158780;17689680;17997753;18656624;19029990;20510882;20637660;20889505;21430289;23419754;24014650;24248598;8995425	TRRUST_from_CollecTRI
BMAL1	PER1	10848603;11441147;12032351;12397359;15147242;17660446;17994337;19341811;20106950;20215567;20852621;20930143;21479263;22215611;22750052;24320178;25228643	TRRUST_from_CollecTRI
CLOCK	PER1	10848603;12397359;15147242;15193144;17660446;17994337;19341811;19605937;20106950;20551151;20852621;20930143;21479263;22750052;22895791	TRRUST_from_CollecTRI
ATF2	IFNB1	10848607;16641293;17496231;18272195;20048166;22065573;7972056	TRRUST_from_CollecTRI
IRF3	IFNB1	10692430;10848607;10938111;11222729;11303025;11846976;12077266;12604599;12821121;12829834;12885884;15699120;15857993;15955070;16125763;16186222;16641293;16699525;16954376;17079289;17079305;17243100;17296604;17496231;17540767;17652396;17692882;17785777;17845078;17947522;18225953;18272195;18309294;18539711;18614628;18641315;18851954;19108859;19153231;19176627;19349300;19541850;19570869;19846511;20048166;20083668;20130065;20304918;20375222;20453844;20483755;20581830;20610716;20660350;21148557;21228327;21281747;21492741;21632562;22065573;22083261;22285490;22417706;22684309;22902624;22911767;23096996;23843640;23911869;24180280;24185615;24257594;24532789;24656046;25531393;26483348;27481269;9446577;9541017;9649509;9707562;9877175;9891032	TRRUST_from_CollecTRI
JUN	IFNB1	10848607;17376932;18035482;20048166;22065573;22083261;9660935	TRRUST_from_CollecTRI
ETS1	CSNK2A1	10849443;19027835	TRRUST_from_CollecTRI
SP1	CSNK2A1	10849443;19027835	TRRUST_from_CollecTRI
JUNB	CDKN2A	10856241;16966326;17370299;19340300	TRRUST_from_CollecTRI
NR1H3	ABCA1	10858438;11264984;11287605;11641412;11788472;12032171;12198243;14764426;15171719;15280160;15292368;15774904;15922656;15949682;16099444;16141411;16254209;16730733;16803904;16901265;17026988;17135302;17526932;17587765;17887732;18372238;18580406;19201410;19258656;19342446;19718435;19787078;20419060;20570635;21219878;21521932;22305277;22389325;22429094;22683903;22711909;23466610;23523156;23686490;24603323	TRRUST_from_CollecTRI
MYC	SURF1	10858544	TRRUST_from_CollecTRI
YY1	SURF1	10858544;7607503;8034020;9278494	TRRUST_from_CollecTRI
TFAP2A	HGF	10860846	TRRUST_from_CollecTRI
PPARG	CEBPA	12215492;15867211;16431920;17272924;18188158;19583951;23981481	TRRUST_from_CollecTRI
SP1	POR	10864447;21900384;8660656	TRRUST_from_CollecTRI
ESR1	VEGFA	10866309;10995484;12208749;12400015;14647449;15774498;16249470;16267616;17272396;18252963;18497067;19398483;19420388	TRRUST_from_CollecTRI
FOXM1	SFTPB	10867648;11004479;11053014;12161428;20418387;9252399	TRRUST_from_CollecTRI
MZF1	TERT	10871406;20184882	TRRUST_from_CollecTRI
SP1	FGFBP1	10871606	TRRUST_from_CollecTRI
SP1	UTRN	10871758;11237613;11997063;15172107	TRRUST_from_CollecTRI
PAX3	BCL2L1	10871843	TRRUST_from_CollecTRI
HOXA5	PGR	10875927	TRRUST_from_CollecTRI
SMAD7	CDKN1A	10878024;11180003;12185267;15555279;15922743;20104486	TRRUST_from_CollecTRI
STAT3	CRP	10880233;12667216;16116232;18292576;18684932;20978825;23361365;8621622;9566874	TRRUST_from_CollecTRI
CEBPB	CRP	10880233;11035101;11160296;12393563;12667216;14522018;16116232;17335903;17513780;18684932;22750226;23361365;23955082	TRRUST_from_CollecTRI
SP1	SERPINE1	10880342;11251188;11423472;12105191;15039136;15178441;1634545;17890327;23235480;8342330;9525928	TRRUST_from_CollecTRI
CDX2	GUCY2C	10889158;11684084;16361536;16618413	TRRUST_from_CollecTRI
PAX4	GCG	10567552;10891400;11845228;17263687;17426099;21263211;21824254	TRRUST_from_CollecTRI
PAX4	INS	10567552;10601637;10891400;11263967;17299998;17426099;21263211	TRRUST_from_CollecTRI
TP53	CASP3	10893263;15578696;17363498;18064040;21859835;22154326;22178888;23527225;23677569;24098340	TRRUST_from_CollecTRI
SP1	PGR	10894148;12554796;12706304;15019994;20087433	TRRUST_from_CollecTRI
ESR1	PGR	10835496;10894148;11000528;12446585;12554765;12706304;12761896;12829318;15019994;15743834;16293641;18414489;18784357;22543272;23027806;8043503;8145766;8530508;9058379;9717846	TRRUST_from_CollecTRI
PGR	ESR1	11014241;16982776;19147702;23322423	TRRUST_from_CollecTRI
YBX1	FAS	10903433	TRRUST_from_CollecTRI
STAT3	IL10	10903771;12817009;12857749;15034082;15972681;16606674;17404037;18403020;18765795;18848473;19124156;21041726;21157434;21385272;21398617;22378047;24315995;25108026;28011648;28713870;31886314	TRRUST_from_CollecTRI
HNF1A	UGT1A7	10908299;20406851	TRRUST_from_CollecTRI
ATF2	INS	10909971;17337306;21278380	TRRUST_from_CollecTRI
TP53	VEGFA	10910082;11559575;11971180;15860260;16684540;16835303;20639906;21325822;23449391;8108142;8521408;9377555;9833779	TRRUST_from_CollecTRI
ETV3	MMP1	10913304	TRRUST_from_CollecTRI
FOSL1	MMP1	10913304;14519134;18802113;21640141;22437631;25339983	TRRUST_from_CollecTRI
JUN	MMP1	10206959;10913304;10914841;10995748;11156425;11259586;12871225;14550555;15027120;15090544;15467742;16317516;16380175;16569638;16707434;19028685;19708869;20225236;20463008;20648623;21640141;22437631;8798622;9178763;9334186;9923649	TRRUST_from_CollecTRI
E2F1	TYMS	10914714;14618416;14679120;14726656;15280655;7623816;9748140	TRRUST_from_CollecTRI
E2F1	MDM2	10914734;20837136	TRRUST_from_CollecTRI
JUN	SPRR1B	10918063;11792626;12682075	TRRUST_from_CollecTRI
JUN	CCL2	10918580;12667961;14752027;18024959;18443042;19162185;19299558;19371341;22674286;23583295;26554515	TRRUST_from_CollecTRI
STAT3	CDKN1B	10918585;11920194;18320073	TRRUST_from_CollecTRI
SP1	STAR	10919277;11111087;11250933;15129808	TRRUST_from_CollecTRI
NFKB1	CSF1	10919279;11949945;18566389;7583532	TRRUST_from_CollecTRI
HIF1A	BNIP3	10922063;11550088;11559532;12879018;17513511;17848618;19745228;20332243;20864819	TRRUST_from_CollecTRI
SOX10	MPZ	10931919;14523991;16373334;18634568;19487693;21179557;23874858	TRRUST_from_CollecTRI
MEF2A	MEF2A	10933397;11114197;12061776;12574153;14550531;16419034;17646162;18073218;18198354;18222924;19106103;22496345;22578382	TRRUST_from_CollecTRI
IRF7	IFNA1	10692430;10933732;10938111;11162841;11303025;11473119;12077266;12138184;12242290;15265881;16175599;16251417;16612387;17702615;17785777;19349300;19798431;21670437;21940674;27012395;9877175	TRRUST_from_CollecTRI
FOS	MMP9	10935492;11774399;12032150;15319566;16554298;16882662;18809380;21047770;21238464;21474819;21940623;23176293;23508111;23955082;24173318;9136992	TRRUST_from_CollecTRI
ESR1	PTMA	10938099;11459795;12149645	TRRUST_from_CollecTRI
SOX10	MITF	10938265;10942418;10973953;10982026;15760336;16494873;16921166;19026785	TRRUST_from_CollecTRI
TFAP2A	MCAM	10938273;20805990	TRRUST_from_CollecTRI
JUN	IL24	10942517;21357535	TRRUST_from_CollecTRI
ZEB1	CDH1	10949939;12161443;12508111;12714599;15311212;15674322;16424029;16804902;16862183;17615296;17655524;17997862;18321996;18411277;18487993;18805502;19435871;19706487;19839049;19921427;20139075;20207041;20332115;21593765;21771732;22147512;22249256;23160379;23518002;23667256;23743934;23890107	TRRUST_from_CollecTRI
SP1	MYBL1	10951586	TRRUST_from_CollecTRI
TP53	BGLAP	10953326;21964930;22405968;8280378;9436028	TRRUST_from_CollecTRI
CREB1	CCK	10960361;15030385;15073527;20226774	TRRUST_from_CollecTRI
SP1	PTN	10962555	TRRUST_from_CollecTRI
ATF3	SELE	10964678	TRRUST_from_CollecTRI
RELA	EDN1	10969841;18226221;21334436	TRRUST_from_CollecTRI
TFCP2	TYMS	10970859;12089154;16973241;19622726	TRRUST_from_CollecTRI
JUN	ALOX12	10973489;14518567;16478997;18590721;20508969	TRRUST_from_CollecTRI
SP1	ALOX12	10973489;14518567;16118214;16478997;18590721;20508969;9164849	TRRUST_from_CollecTRI
SP1	EGF	10973489;1282800;12954631;14518567;15533438;18365874;19853299;2833511;3283124;8943318;9164849	TRRUST_from_CollecTRI
WT1	CCN2	10973960	TRRUST_from_CollecTRI
FLI1	FLI1	10975680;11991951;12556498;16206264;16829517;17606295;17720906;19001092;19829305;20110178;24058639;24727028;9764825;9858537	TRRUST_from_CollecTRI
STAT1	TAP1	10975834;14735146;15240699;15778351;9632673	TRRUST_from_CollecTRI
NFKB1	IL6	10329846;10469356;10569191;10823821;10903137;10963848;10975857;11035101;11058167;11098847;11120852;11160296;11302724;11327783;11459775;11504280;11975924;12058956;12176740;12727841;12887736;12907458;14532843;15158360;15241416;15517885;15611045;15749903;15756023;16043358;16112536;16984731;17040605;17196927;17490702;17495236;17513725;17532054;17982049;18057724;18061164;18243142;18310089;18942706;18996370;19124729;19164127;19469019;19703987;19707556;20066113;20696864;22547075;22578249;22895549;2405250;24337575;24664372;24676671;25549935;7499267;7876168;8247545;8679226;8725624;8752656;8824277;9199307;9502421;9516466;9523851	TRRUST_from_CollecTRI
SP1	CD44	10976926;11316768;12091390;12943729;12972613;15111490;16943418;18372343;18596044;21193408	TRRUST_from_CollecTRI
JUN	ATF3	10979959;14667575;21304988;22870894;8576171	TRRUST_from_CollecTRI
ATF2	ATF3	10979959;12833146;18719024;20581861;8576171	TRRUST_from_CollecTRI
TP53	RRM2B	10716435;10980602;15856024;17658469;18474260;19837670	TRRUST_from_CollecTRI
CEBPB	CDKN1A	10982390;15041706;15466360	TRRUST_from_CollecTRI
ETS2	CDKN1A	10982390;11114728	TRRUST_from_CollecTRI
ESR1	SP1	15084343;15691879;19652226	TRRUST_from_CollecTRI
SP1	ESR1	10982795;11345900;12237165;12429135;15691879;18006846;19351845;21191649;21235772;22622808;23209644	TRRUST_from_CollecTRI
EGR1	TGFBR2	10982796;12237943;20621662	TRRUST_from_CollecTRI
DDIT3	ATF2	16164412;18396163	TRRUST_from_CollecTRI
NKX3-1	ACTG2	10993896;12450213;16814806;18296735;18496575;19797053	TRRUST_from_CollecTRI
SMAD3	APOC3	10995777;11229886	TRRUST_from_CollecTRI
SMAD4	APOC3	10995777;11229886;16771709	TRRUST_from_CollecTRI
POU2F1	HPGDS	10998423	TRRUST_from_CollecTRI
NR1H4	PLTP	10998425;11867625;12454263;22683342	TRRUST_from_CollecTRI
HSF1	HLA-G	11005379	TRRUST_from_CollecTRI
CRX	RHO	11007889;12566383;15277472;17141759;17653056;18854042;24301678;24499263	TRRUST_from_CollecTRI
JUN	GCLC	10218647;10350652;10751553;11007940;11233143;11912197;16054171;9610371;9613591	TRRUST_from_CollecTRI
TFAP2A	VEGFA	11007955;11191053;11731421;12570801;14744778;16790435;23506169;8466753;9049304	TRRUST_from_CollecTRI
CEBPB	IL4	11009091;12516545;15048722;15922518;16585579;19915002;23913966;7594540;8709636;9442389	TRRUST_from_CollecTRI
GATA1	MPL	11012226;15466856;8639837;9427697	TRRUST_from_CollecTRI
NR5A1	CYP11B1	11014212;11932209;12915995;14645496;22079243	TRRUST_from_CollecTRI
ATF1	CGA	10341006;11014230	TRRUST_from_CollecTRI
CREB1	CGA	10341006;11014230;11518798;15637148;21986493	TRRUST_from_CollecTRI
BMAL2	SERPINE1	11018023;11795300;12055078;12738229;19168071;22198637	TRRUST_from_CollecTRI
GATA1	SPI1	10753833;19491391	TRRUST_from_CollecTRI
SPI1	GATA1	10411939;11001896;11023493;14559995;20304827	TRRUST_from_CollecTRI
ESR1	KRT19	11026574;18414489	TRRUST_from_CollecTRI
RXRA	HNF4A	10744771;11027556	TRRUST_from_CollecTRI
SP1	SLC29A1	11027664;18064606;19193655	TRRUST_from_CollecTRI
NR0B2	CYP7A1	11030332;11518759;12525500;15314177;15358835;15581596;15817812;16049268;17145766;17654698;18323469;19056864;19085950;19346330;19805516;20375098;21566081;21817852;21963511;23038264	TRRUST_from_CollecTRI
NFKB1	CRP	11035101;11160296;12393563;12667216;16116232;17513780;17704137;18684932	TRRUST_from_CollecTRI
NFKB1	IL1B	10080875;10963848;11035101;11058167;12686724;14960579;15543947;15972680;16433741;17082635;17707233;18285351;18772363;20336759;20696864;8021507;8413223;8679226;9058643;9878621	TRRUST_from_CollecTRI
JUN	NQO1	11035254;20833713;8004128;8065332;8375015;9058597	TRRUST_from_CollecTRI
JUNB	NQO1	11035254	TRRUST_from_CollecTRI
JUND	NQO1	11035254	TRRUST_from_CollecTRI
NFE2L2	NQO1	11013233;11035254;12149651;12947090;14510636;15385560;15574414;15734732;16785233;16948474;17360324;18028974;18039655;19007787;19897490;20309604;20599494;20623181;21097520;21382013;21569840;21622983;21638050;21843634;21926171;22154326;22245129;22302369;22346778;22459801;22521774;22911891;23000247;23413426;23738042;24024136;8962164	TRRUST_from_CollecTRI
NRF1	NQO1	11035254;8962164	TRRUST_from_CollecTRI
NR3C1	NR3C1	11038247;14684580;16263717;20018896;20419394;22516378;9022717	TRRUST_from_CollecTRI
ATF2	PCK1	11042264;12453892;15907483;17314398;9712902	TRRUST_from_CollecTRI
WT1	VDR	11050081;11373341;11773605;23362234	TRRUST_from_CollecTRI
FOXA1	SFTPB	11053014;12161428;18003659;19096034;9006959	TRRUST_from_CollecTRI
HES1	ASCL1	11054669;11756408;11940670;18344989;19109490;20506217;21573214;22718343;30030829;9144241;9570134	TRRUST_from_CollecTRI
REL	F3	11057875;7615158;9081693	TRRUST_from_CollecTRI
NFKB1	MMP9	10359016;11060311;11376631;12105194;12193473;14600595;14755547;15175338;15536164;15605368;16014933;16687076;17121934;17158602;17174275;17186550;17498959;17673602;17922642;18056465;18298869;18357389;18566231;18567920;18801463;18843978;19303700;19454280;19539355;19662350;19783786;20103608;20332461;21963718;7860222;9500201;9679762	TRRUST_from_CollecTRI
NFKB1	NFKBIA	10454561;11060311;11744993;12885753;15499023;17709515;17876798;7775482;9250151	TRRUST_from_CollecTRI
RELA	MMP9	10359016;11060311;11376631;12105194;12193473;14600595;14755547;15086314;15175338;15536164;15605368;16014933;16554298;16687076;17121934;17158602;17174275;17186550;17498959;17590163;17673602;17922642;18028425;18056465;18298869;18357389;18566231;18567920;18801463;18843978;19303700;19454280;19539355;19616091;19662350;19783786;20103608;20332461;21238464;21502320;21963718;22587999;23423566;24755270;7860222;9500201;9679762	TRRUST_from_CollecTRI
RELA	NFKBIA	11060311;11744993;12859951;12885753;15499023;17876798;18204072;18981184;22723832;23422506;23450368;24083678;25759022;7775482;9250151	TRRUST_from_CollecTRI
SP1	MMP9	11060311;11830485;17049831;18028425;18357389;19616522;20529870;20638438;21840940;21963718;23799155;24755270;7860222;8226872;9150367;9514098;9520415;9748266	TRRUST_from_CollecTRI
TBX2	CDKN2A	11062467;15300007;15781639;16730707;17630961;18762810;19216023;20348948;20624445;25211658	TRRUST_from_CollecTRI
NFKB1	NFKB1	11066090;12471036;14570916;16513841;16778171;1740105;18467438;19289835;19469019;23242156;24068327;7905283;8428579;8454856;9053449	TRRUST_from_CollecTRI
STAT3	PIAS3	11071847;12804609;14630083;16368885;19201870;19608614;21519923;23959540	TRRUST_from_CollecTRI
PIAS3	STAT3	16098628	TRRUST_from_CollecTRI
WT1	EGFR	11071895;19014381;19321755;20944147;7588596;8827073;9291179	TRRUST_from_CollecTRI
TP53	CCNB2	11071927;12889596;20501806;23187802	TRRUST_from_CollecTRI
SP3	ALPL	11073119	TRRUST_from_CollecTRI
MITF	KIT	11076759;11174389;19067971;19937254;1999537	TRRUST_from_CollecTRI
MYF6	ACACB	11076940;12642900	TRRUST_from_CollecTRI
RARA	FGFBP1	11077050	TRRUST_from_CollecTRI
TCF3	CDKN1A	11080812;11585922;12493738;15555546;15856770;17617061;18211587;19125693;20191379;20503194;22514271;22564737;22904088;23684607;9315646	TRRUST_from_CollecTRI
NFKB1	PTGS2	10827178;11082190;12067569;12349897;12466023;12471036;12622742;12871860;14988266;15234907;15368354;15387324;15517885;15547942;15555528;15655349;15997464;16210649;16624933;16820889;17556653;17673602;17767925;18057724;18294142;18973191;19618291;19766095;20103608;20669087;22001128;9266823;9988750	TRRUST_from_CollecTRI
RELA	PTGS2	10827178;11082190;12067569;12349897;12466023;12471036;12622742;12871860;14645117;14988266;15013753;15234907;15368354;15387324;15517885;15547942;15555528;15655349;15997464;16001969;16210649;16624933;16820889;17556653;17673602;17767925;18057724;18294142;18752821;18973191;19284764;19618291;19766095;19783677;20103608;20600530;20669087;21149600;22001128;8995303;9041934;9266823;9710122	TRRUST_from_CollecTRI
USF1	HOXB4	11085749;12791656;23754954	TRRUST_from_CollecTRI
USF2	HOXB4	11085749;12791656	TRRUST_from_CollecTRI
IRF1	HLA-G	11087747;19758196	TRRUST_from_CollecTRI
ESR1	AVP	11089536	TRRUST_from_CollecTRI
ESR2	AVP	11089536;12834440;17412808;19383875	TRRUST_from_CollecTRI
IRF2	IFNB1	11090630;1431317;15494505;1630448;17073600;1886766;7630638;7929448;8021262;8035474;8106512;8473349;9649118;9865486	TRRUST_from_CollecTRI
CREB1	PTGS2	11092885;11526505;11668179;14645533;15213229;15221958;15289885;16007171;16256955;16319525;17186551;17505916;17524357;17559081;17632087;17962194;18515110;19797430;19925797;20032081;20954072;21268077;21668646;22919060;24378735	TRRUST_from_CollecTRI
GATA3	IL4	10894164;11093124;11336690;11893731;12876556;15832295;15941711;16266280;16498264;17277157;17658278;18167455;19881507;20636338;21131966;21536806;21989417;22039304;22226971;23232398;25037220;25861992;26840450;9442389;9780145;9780146;9846495	TRRUST_from_CollecTRI
MYB	RAG2	11094072;11781241;12044781;12244173	TRRUST_from_CollecTRI
TFAP2C	CSTA	11095974	TRRUST_from_CollecTRI
PRDM1	CIITA	11101876;11279146;12626569;16765445;16982896;17300840;21216962;23789844	TRRUST_from_CollecTRI
TP53	FAS	10101800;11103825;11313989;12447615;12788915;12944915;12963547;14719118;15580300;16317104;16322229;16557594;16951143;19615968;20797428;7539102;9841917	TRRUST_from_CollecTRI
ATF1	TH	11108136	TRRUST_from_CollecTRI
SREBF2	FDFT1	11008488;11111077;18413311;9575211	TRRUST_from_CollecTRI
HMGA1	CXCL1	11112786;7479086	TRRUST_from_CollecTRI
SP1	CXCL1	11112786;11115149;7479086	TRRUST_from_CollecTRI
NFKB1	CFTR	11114294	TRRUST_from_CollecTRI
RELA	CFTR	11114294	TRRUST_from_CollecTRI
RELA	IL1B	10080875;10963848;11058167;11114294;11395507;12517972;12686724;14960579;15292915;15382119;15543947;15812237;15972680;16433741;17082635;17707233;18285351;18566416;19122653;19843519;19846753;20336759;20617571;20696864;20975042;22267743;22388040;23056550;23195252;23383347;23667107;24009751;24908318;25161822;26596471;27211851;27338466;27371733;27534992;28389361;8021507;8413223;8679226;9058643;9878621	TRRUST_from_CollecTRI
STAT3	TGFB1	11114305;16474852;16606674;19797626;20939432;20962578;22378047;23437118;24315995;24504366;25740948	TRRUST_from_CollecTRI
AHR	MYC	11114727;16091746	TRRUST_from_CollecTRI
RELA	MYC	11114727;12783888;12894581;17018379;17673602;17944672;18184402;18566231;19469019;19766095;21790895;7869034;8289784;9596659	TRRUST_from_CollecTRI
NR1I2	CYP2B6	11114890;11502872;12571232;14683479;14709618;18096673;19928584;20624854	TRRUST_from_CollecTRI
MYB	MAT2A	11115410;11427482;21406062	TRRUST_from_CollecTRI
JUN	PLAU	10454570;11115541;11774399;8123597;8570190	TRRUST_from_CollecTRI
CREB1	PSEN1	11116137	TRRUST_from_CollecTRI
NFE2L2	GCLC	10741850;11118612;11909699;14500406;14978030;14985508;15629866;15988009;16054171;16426233;17109620;17173895;18458092;18721845;18845239;18926903;19133322;19282378;19540342;22212472;22459801;23633659;24024136;9601066	TRRUST_from_CollecTRI
USF1	S100A6	11118618;15878395;17495951	TRRUST_from_CollecTRI
HIF1A	SLC2A1	11120745;15525582;15620252;16025159;17322369;17426252;17431122;17486380;18097583;18268343;19828020;23661628	TRRUST_from_CollecTRI
STAT3	BCL6	20228272;23716595	TRRUST_from_CollecTRI
BCL6	STAT3	11120780;17951530	TRRUST_from_CollecTRI
TP53	HRAS	11127813;21552926;21552928;9662334	TRRUST_from_CollecTRI
CREB1	TRH	11134186;12113951;18427988;20136691;9827656	TRRUST_from_CollecTRI
ID4	BRCA1	11136250;12032322;16582598;17016441;21194482;24475217	TRRUST_from_CollecTRI
JUN	IL1B	10226077;11145674;11306276;14686613;16365456;16729332;17283046;18566416;18789903;20463008;23608488;7935377;8133045;8798756	TRRUST_from_CollecTRI
NR0B1	CYP17A1	11145739;11592817;11857908;12566726;15155786	TRRUST_from_CollecTRI
ESR1	TGFA	10828826;11145955;11517191;18414489;22488924;8360257;9667651	TRRUST_from_CollecTRI
TFAP2A	DBH	11146001;7616204;9763470	TRRUST_from_CollecTRI
TFAP2A	TH	11146001;9751166	TRRUST_from_CollecTRI
NR1H3	ABCG1	11149950;11500512;12198243;14726413;15292368;15949682;16141411;16680026;16803904;17005185;18580406;18925943;19258656;19342446;19588995;20139031;20385932;20395595;20419060;20570635;20811644;22367754;24603323	TRRUST_from_CollecTRI
TP53	CHEK1	11152453;11158294;15016801;18632613;18753293;19395378;19435816;20190799;21546904	TRRUST_from_CollecTRI
NKX2-1	SFTPB	10710519;11152647;11274148;12161428;16183668;16500948;16507635;16960125;18003659;19906647;20418387;8065304;9006959;9211870;9252399;9396717	TRRUST_from_CollecTRI
HMGA1	INSR	11156965;12665574;16707431;17434141;17510394;20335021;20975707;22355763	TRRUST_from_CollecTRI
ELF1	TEK	11157678;16352813;19674970	TRRUST_from_CollecTRI
PITX2	PLOD1	11157981;12692125;21837767	TRRUST_from_CollecTRI
TFDP1	DHFR	11158299;12788094;14618416;16135794;18793430	TRRUST_from_CollecTRI
ETV4	MMP7	11158322;12851697;15138601;8294454	TRRUST_from_CollecTRI
STAT3	MCL1	11160159;15184887;15469392;15805299;16048438;16317687;16432172;17880940;17951530;18790750;19523441;19595668;20654581;22313388;22465052	TRRUST_from_CollecTRI
SP1	CCND2	11160217;19753117;9339900	TRRUST_from_CollecTRI
STAT5A	CCND2	11160217;12586844;14660677;15509806;22723377	TRRUST_from_CollecTRI
REL	IL6	11160296;11564778;12426000;1372388;16688168;17513725;17982049;19122653;8910763;9171095	TRRUST_from_CollecTRI
REL	CRP	11160296;12667216;14522018;17335903;18684932	TRRUST_from_CollecTRI
MEF2C	MAPK7	11158308;11160424;15085188	TRRUST_from_CollecTRI
SP1	IGF2	10606246;11165040;11327698;11336542;12804776;8405433;9610618;9620554	TRRUST_from_CollecTRI
ESR1	CTSD	10037443;11165043;16219765;18414489;19383337;19569049;2350335;7786196;8195246;8524236;9731700	TRRUST_from_CollecTRI
GATA2	EPO	11169463;12223449;16684536;8677751	TRRUST_from_CollecTRI
RARA	MUC5AC	11171071;12042033	TRRUST_from_CollecTRI
PPARA	CPT1A	11171094;15356291;15489052;16177188;17150915;18566121;19710929;20638986;20656057;24146969	TRRUST_from_CollecTRI
ESR1	HSPB1	10960840;11174852;15833836;8923463	TRRUST_from_CollecTRI
CREB1	NF1	10435592;11175282	TRRUST_from_CollecTRI
ELF1	ERBB2	11175365;7914192	TRRUST_from_CollecTRI
ETV4	ERBB2	10655108;11175365;11774202;15235125;15461591;16406575;16632435;16786139;17168666;18409049;7914192	TRRUST_from_CollecTRI
CREB1	PLAT	11179965;7543410;8647095	TRRUST_from_CollecTRI
ATF2	PLAT	11179965;8647095	TRRUST_from_CollecTRI
SMAD7	CDK1	11180003;15023526	TRRUST_from_CollecTRI
HNF1A	UGT2B17	11191885;12065766	TRRUST_from_CollecTRI
JUN	VEGFA	10885623;11204570;11281649;11353786;11678207;11731421;12163680;14602779;15039660;15277220;16328781;17341624;18294451;19553068;20015448;20432243;23274526;7887961;8910439;9256279	TRRUST_from_CollecTRI
NR5A1	SRY	11207191;12606467;19457926	TRRUST_from_CollecTRI
SP1	MUC2	11212251;12077147;12082130;9224654	TRRUST_from_CollecTRI
SP3	MUC2	11212251	TRRUST_from_CollecTRI
POU2F1	GADD45A	11221850;11420680;11525640;14586402;17700520;23580612	TRRUST_from_CollecTRI
SP1	PDGFB	11222751;11967988;15175554;22415074;8662647	TRRUST_from_CollecTRI
EGR1	PDGFB	11222751;16092976;21368226;8596917;9488709	TRRUST_from_CollecTRI
SP1	COMP	11223338	TRRUST_from_CollecTRI
SP1	MDM2	11226218;15550242;17214373;17634539;18026875;18814047;23584477	TRRUST_from_CollecTRI
HNF4A	APOB	10859308;11229886;11244563;15933209;1639815;8344962;9921275	TRRUST_from_CollecTRI
FOXM1	APOE	11229886	TRRUST_from_CollecTRI
HNF4A	APOC3	11229886;11802721;11839757;12454280;12631740;1312668;1639815;16584384;16771709;20516075;22197810;2279702;7640286;7984419;8760876;9012660;9366246;9760243	TRRUST_from_CollecTRI
JUN	APOC3	11229886;9760243	TRRUST_from_CollecTRI
TP73	AQP3	11231003	TRRUST_from_CollecTRI
TP53	AQP3	11231003	TRRUST_from_CollecTRI
SP1	CDKN1B	10072762;10542271;11231912;12773549;12907235;12907249;15064717;15899840;15951157;16105842;16518840;18355800;19145069;19433067;21131823;22415074;23184467;9349726	TRRUST_from_CollecTRI
ETS1	CDKN2A	11234019;17370299;19240179;22714536	TRRUST_from_CollecTRI
ETS2	CDKN2A	11234019;17370299;19340300	TRRUST_from_CollecTRI
FOSL1	PLAUR	10471035;11234878;16893520;17510314;8798512	TRRUST_from_CollecTRI
JUN	PLAUR	10471035;11234878;15040011;15963460;16893520;17510314;20736951;8761947;8798512	TRRUST_from_CollecTRI
MITF	TYRP1	10080955;11237412;11310793;12136092;12204775;17457519;19067971;1999537;19995375;22371403;8749302;8995290	TRRUST_from_CollecTRI
SP1	CCNA2	11237594;18368381;8270002	TRRUST_from_CollecTRI
SP3	UTRN	11237613	TRRUST_from_CollecTRI
IRF1	TAP2	11238639;18694960	TRRUST_from_CollecTRI
CREB1	IL2	11238674;11313407;12370343;12432566;12626549;15993752;17548609;8670878;8814256	TRRUST_from_CollecTRI
NR4A2	SLC6A3	11238740;18784308;19494806;20533997;23240065	TRRUST_from_CollecTRI
