source_genesymbol	target_genesymbol	consensus_stimulation	consensus_inhibition	references	sources
AR	KLK3	0	0	10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026	DoRothEA-A;ExTRI;GOA;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
AR	ARR3	0	0	10075669	ExTRI
CUX1	CFTR	0	0	10075672	ExTRI;GEREDB;TRRUST
ATF1	CFTR	0	0	10075672	ExTRI;GEREDB;TRRUST
KAT7	CFTR	0	0	10075672	ExTRI
CREBZF	GAST	0	0	10075714	ExTRI
SP1	GAST	0	0	10075714;10448078;10580833;10679190;10751319;14670968;15613302;17889508;21083750;22593272;2566164;7721790;7890769;8920679;8943318;9144414;9852054	DoRothEA-A;ExTRI;HTRI;TRRUST
GLI3	GLI1	0	0	10075717;12435627;14723851;16571352;19667090	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS
NKX2-5	NPPA	0	0	10075728;11042197;11555635;12023302;12392994;12408979;12692125;14573514;14757752;15158141;15542826;15972800;17468179;17544441;17584735;17927564;18444963;20167925;21930795;8756621;9278441;9312027;9584153	ExTRI;NTNU.Curated
GATA4	NPPA	0	0	10075728;10330176;11382775;11994297;14573514;15542826;16603706;17584735;19546173;20384792;20874724;20931527;9312027;9584153	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
TGFB1I1	AR	0	0	10075738;11532379;21515881	ExTRI
AR	TGFB1I1	0	0	16849583	ExTRI
RARB	MMP11	0	0	10075839	ExTRI
RARG	MMP11	0	0	10075839	ExTRI
RARB	RARG	0	0	11173543;1649387;1650576	ExTRI;GEREDB
RARG	RARB	0	0	10075839;10929206;1310259;1650576	ExTRI;TRRUST
JUN	CCL5	0	0	10075858;10760799;11413310;19828633;20862675;26096887;7513046	CytReg;ExTRI;GEREDB;TFactS;TRRUST
